oldmuninum;newmuninum
101;101
147;147
151;151
153;153
155;155
157;157
159;159
161;161
163;163
165;165
167;167
169;169
171;240
173;173
175;175
181;230
183;183
185;185
187;187
189;190
201;201
205;230
207;190
208;210
209;250
211;260
213;270
215;270
217;217
219;219
221;260
223;223
225;250
227;210
229;250
231;219
233;219
233;250
235;240
237;240
251;350
253;253
255;265
257;350
259;259
261;350
263;265
265;265
267;259
269;269
271;336
301;326
303;340
305;306
307;370
309;326
311;330
313;320
315;316
317;326
319;326
321;316
323;326
325;330
327;306
329;329
331;330
333;330
;
335;340
;
337;340
;
339;316
;
341;316
;
343;306
;
345;316
;
351;320
;
353;370
;
355;360
;
357;370
;
359;360
;
361;390
;
363;360
;
365;390
;
367;360
;
369;376
;
371;376
;
373;370
;
375;376
;
377;390
;
379;360
;
381;360
;
383;360
;
385;320
;
387;376
;
389;336
;
391;376
;
393;370
;
395;376
;
397;390
;
400;400
;
411;411
;
421;420
;
423;480
;
425;430
;
427;479
;
429;410
;
431;430
;
433;420
;
435;479
;
437;420
;
439;440
;
441;440
;
443;492
;
445;410
;
447;440
;
449;450
;
451;410
;
461;461
;
471;480
;
473;430
;
475;482
;
477;430
;
479;479
;
481;482
;
483;480
;
485;420
;
487;482
;
489;450
;
491;420
;
493;492
;
495;450
;
497;430
;
499;420
;
501;540
;
503;580
;
505;550
;
507;540
;
509;510
;
509;621
;
511;510
;
513;540
;
515;510
;
517;550
;
519;580
;
521;550
;
523;540
;
525;510
;
525;550
;
527;575
;
529;580
;
531;550
;
533;540
;
535;540
;
537;540
;
539;580
;
541;550
;
543;510
;
545;580
;
551;530
;
553;573
;
555;573
;
557;561
;
559;575
;
561;561
;
563;563
;
565;530
;
567;561
;
567;573
;
569;575
;
571;561
;
573;573
;
575;575
;
577;573
;
601;615
;
601;746
;
603;630
;
605;621
;
605;630
;
607;607
;
609;615
;
611;630
;
613;766
;
615;615
;
617;630
;
619;766
;
621;621
;
623;621
;
625;756
;
627;630
;
627;766
;
629;621
;
631;630
;
651;657
;
653;756
;
655;760
;
657;657
;
659;760
;
661;661
;
663;756
;
665;665
;
667;760
;
669;760
;
671;671
;
673;665
;
675;671
;
677;657
;
679;661
;
681;760
;
683;661
;
685;657
;
701;706
;
703;746
;
705;740
;
707;707
;
709;710
;
711;710
;
713;710
;
715;746
;
717;710
;
717;730
;
719;730
;
719;846
;
721;706
;
723;730
;
725;707
;
727;727
;
729;730
;
731;730
;
733;706
;
735;707
;
737;746
;
739;706
;
741;741
;
743;740
;
745;746
;
747;707
;
747;730
;
749;740
;
751;751
;
761;791
;
763;791
;
765;787
;
767;710
;
769;791
;
771;740
;
773;773
;
775;791
;
777;779
;
779;779
;
781;779
;
783;779
;
785;787
;
787;787
;
789;791
;
791;791
;
793;791
;
793;820
;
793;846
;
801;846
;
803;849
;
805;810
;
807;810
;
809;820
;
811;849
;
813;813
;
815;846
;
817;851
;
819;860
;
821;860
;
823;846
;
825;825
;
827;820
;
829;860
;
831;851
;
833;840
;
833;846
;
835;849
;
837;851
;
839;860
;
841;813
;
843;840
;
845;840
;
847;813
;
849;849
;
851;851
;
861;820
