oldmuniname;newmuniname
aabenraa;aabenraa
aabybro;jammerbugt
aalborg;aalborg
aalestrup;vesthimmerland
aars;vesthimmerland
aarup;assens
albertslund;albertslund
alleroed;alleroed
arden;mariagerfjord
assens;assens
augustenborg;soenderborg
aulum-haderup;herning
ballerup;ballerup
billund;billund
birkeroed;rudersdal
bjergsted;kalundborg
bjerringbro;viborg
blaabjerg;varde
bogense;bogense
bornholm;bornholm
bov;aabenraa
bramming;esbjerg
bramsnaes;lejre
bredebro;toender
broager;soenderborg
broby;faaborg-midtfyn
brovst;jammerbugt
braedstrup;horsens
broendby;broendby
broenderslev;broenderslev-dronninglund
broerup;vejen
boerkop;vejle
christiansfeld;kolding
dianalund;soroe
dragsholm;odsherred
dragoer;dragoer
dronninglund;broenderslev-dronninglund
ebeltoft;syddjurs
egebjerg;svendborg
egtved;vejle
egvad;ringkoebing-skjern
ejby;middelfart
esbjerg;esbjerg
faaborg;faaborg-midtfyn
fakse;faxe
fanoe;fanoe
farsoe;vesthimmerland
farum;furesoe
fjends;viborg
fjerritslev;jammerbugt
fladsaa;naestved
fredensborg;fredensborg
fredensborg-humlebaek;fredensborg
fredericia;fredericia
frederiksberg;frederiksberg
frederikshavn;frederikshavn
frederikssund;frederikssund
frederiksvaerk;frederiksvaerk-hundested
fuglebjerg;naestved
galten;skanderborg
gedved;horsens
gentofte;gentofte
give;vejle
gjern;silkeborg
gladsaxe;gladsaxe
glostrup;glostrup
gram;haderslev
grenaa;norddjurs
greve;greve
grindsted;billund
graasten;soenderborg
graested-gilleleje;gribskov
gudme;svendborg
gundsoe;roskilde
goerlev;kalundborg
haarby;assens
haderslev;haderslev
hadsten;favrskov
hadsund;mariagerfjord
hals;aalborg
hammel;favrskov
hanstholm;thisted
hashoej;slagelse
haslev;faxe
hedensted;hedensted
helle;varde
helsinge;gribskov
helsingoer;helsingoer
herlev;herlev
herning;herning
hilleroed;hilleroed
hinnerup;favrskov
hirtshals;hjoerring
hjoerring;hjoerring
hobro;mariagerfjord
holbaek;holbaek
holeby;lolland
holmegaard;naestved
holmsland;ringkoebing-skjern
holstebro;holstebro
holsted;vejen
horsens;horsens
hundested;frederiksvaerk-hundested
hvalsoe;lejre
hvidebaek;kalundborg
hvidovre;hvidovre
hvorslev;favrskov
hoeje taastrup;hoeje-taastrup
hoejreby;lolland
hoeng;kalundborg
hoerning;skanderborg
hoersholm;hoersholm
ikast;ikast-brande
ishoej;ishoej
jelling;vejle
jernloese;holbaek
juelsminde;hedensted
jaegerspris;frederikssund
kalundborg;kalundborg
karlebo;fredensborg
karup;viborg
kerteminde;kerteminde
kjellerup;silkeborg
kolding;kolding
korsoer;slagelse
koebenhavn;koebenhavn
koege;koege
langebaek;vordingborg
langeskov;vordingborg
langaa;randers
ledoeje-smoerum;egedal
lejre;lejre
lemvig;lemvig
lunderskov;kolding
lundtoft;aabenraa
lyngby-taarbaek;lyngby-taarbaek
loegstoer;vesthimmerland
loegumkloster;toender
loekken-vraa;hjoerring
mariager;mariagerfjord
maribo;lolland
middelfart;middelfart
midtdjurs;syddjurs
morsoe;morsoe
munkebo;kerteminde
moeldrup;viborg
moen;vordingborg
nakskov;lolland
nibe;aalborg
nordborg;soenderborg
nyborg;nyborg
nykoebing f.;guldborgsund
nykoebing-roervig;odsherred
nysted;guldborgsund
naestved;naestved
noerager;rebild
noerhald;randers
noerre aaby;middelfart
noerre alslev;guldborgsund
noerre djurs;norddjurs
noerre rangstrup;toender
noerre snede;ikast-brande
odder;odder
odense;odense
otterup;bogense
pandrup;jammerbugt
praestoe;vordingborg
purhus;randers
ramsoe;roskilde
randers;randers
ravnsborg;lolland
ribe;esbjerg
ringe;faaborg-midtfyn
ringkoebing;ringkoebing-skjern
ringsted;ringsted
rosenholm;syddjurs
roskilde;roskilde
rougsoe;norddjurs
rudbjerg;lolland
rudkoebing;langeland
ry;skanderborg
ryslinge;faaborg-midtfyn
roedby;lolland
roedding;vejen
roedekro;aabenraa
roedovre;roedovre
roende;syddjurs
roennede;faxe
sakskoebing;guldborgsund
sallingsund;skive
samsoe;samsoe
sejlflod;aalborg
silkeborg;silkeborg
sindal;hjoerring
skagen;frederikshavn
skanderborg;skanderborg
skibby;frederikssund
skive;skive
skjern;ringkoebing-skjern
skovbo;koege
skaelskoer;slagelse
skaerbaek;toender
skaevinge;hilleroed
skoerping;rebild
slagelse;slagelse
slangerup;frederikssund
solroed;solroed
soroe;soroe
spoettrup;skive
stenlille;soroe
stenloese;egedal
stevns;stevns
struer;struer
stubbekoebing;guldborgsund
stoevring;rebild
sundeved;soenderborg
sundsoere;skive
svendborg;svendborg
svinninge;holbaek
sydfalster;guldborgsund
sydlangeland;langeland
sydthy;thisted
soelleroed;rudersdal
soenderborg;soenderborg
soenderhald;randers
soendersoe;bogense
them;silkeborg
thisted;thisted
thyboroen-harbooere;lemvig
tinglev;aabenraa
tjele;viborg
tommerup;assens
tornved;holbaek
trehoeje;herning
trundholm;odsherred
taarnby;taarnby
toelloese;holbaek
toender;toender
toerring-uldum;hedensted
ulfborg-vemb;holstebro
ullerslev;nyborg
vallensbaek;vallensbaek
valloe;stevns
vamdrup;kolding
varde;varde
vejen;vejen
vejle;vejle
viborg;viborg
videbaek;ringkoebing-skjern
vinderup;holstebro
vissenbjerg;assens
vojens;haderslev
vordingborg;vordingborg
vaerloese;furesoe
aarhus;aarhus
aarslev;faaborg-midtfyn
aaskov;herning
oelgod;varde
oelstykke;egedal
oerbaek;nyborg
